word    corrected
Abhimanyu    abhimanyu
Abikshit    abikṣita
Adhyatma    adhyātma
Aishika    aiśikā
Ajeya    ajēya
Ajita    ajita
Akshauhinis    akṣauhiṇī
Amvarisha    amavariṣa
Anaranya    anaraṇya
Anga    aṁga
Anuha    anuha
Aranyaka    āraṇyaka
Arjuna    arjuna
Arka    araka
Asuras    asurasa
Aswatthaman    asvatthamana
Balabandhu    bālabaṁdhu
Bayu    bāyū
Bhagiratha    bhāgīratha
Bharadwaja    bhāradvāja
Bharata    bhārata
Bhava    bhāva
Bhima    bhīma
Bhimasena    bhīmasēna
Bhishma    bhīṣma
Brahma    brahmā
Brahmana    brāhmaṇa
Brahmarshis    brahmarṣisa
Brahmashira    brahmaśirā
Chuchi    cūcī
Damana    dāman
Dambhodbhava    dambhōdbhava
Dasaratha    daśaratha
Deva    dēva
Devahuya    dēvahuyā
Devas    dēvāsa
Dharma    dharma
Dhrishtaketu    dhr̥ṣṭakētu
Dhristadyumna    dhr̥ṣṭadyumna
Dhritarashtra    dhr̥tarāṣṭra
Dhurta    dhūrta
Draupadi    draupadī
Dridhe    ḍridha
Driptaketu    dr̥ptakētu
Drona    drōṇā
Druma    druma
Duhsasana    duḥśāsana
Duryodhana    duryōdhana
Dwaipayana    dvaipāyana
Gandhari    gāṁdhārī
Ganga    gaṁgā
Gavalgana    gavalagānā
Gaya    gayā
Ghatotkacha    ghaṭōtkaca
Ghoshayatra    ghōṣayātrā
Indra    iṁdra
Janamejaya    janamējaya
Janujangha    jānujaṁgha
Kakshivanta    kakṣīvaṁta
Kakutstha    kakutstha
Kalakeyas    kalākēyasa
Kama    kāma
Kanka    kaṁkā
Karna    karṇa
Kripa    kr̥pā
Krishna    kr̥ṣṇa
Kritavarma    kr̥tavarmā
Kritavarman    kr̥tavarmana
Kritavirya    kr̥tavīrya
Kritbandhu    kr̥tabaṁdhu
Kunti    kuṁtī
Kuru    kuru
Kurus    kurusa
Madhu    madhu
Madra    madrā
Madri    mādrī
Mahabharata    mahābhārata
Mahapurana    mahāpurāṇa
Maharatha    mahāratha
Manu    manu
Marutta    māruttā
Matsya    matsya
Nagas    nāgāsa
Nakula    nakula
Nala    nāla
Nara    nara
Narada    nārada
Narayana    nārāyaṇa
Nimi    nimī
Niramaya    nirāmaya
Nirmardda    nirmardda
Nishadas    niśādāsa
O    ō
Pandu    pāṁḍū
Parasu    praśu
Pasupata    pāśupata
Paulomas    paulōmāsa
Pratyanga    pratyaṁga
Pritha    pr̥tha
Priyabhritya    priyabhr̥tya
Pundra    puṇḍra
Puru    puru
Raghu    raghu
Raja    rājā
Rajas    rājasa
Rakshasa    rākṣasa
Rama    rāma
Rantideva    rantidēva
Rishi    r̥ṣi
Sagara    sāgara
Sahadeva    sahadēva
Saindhava    saiṁdhava
Saivya    saivya
Sakti    sakatī
Salya    sālya
Sambhu    śaṁbhū
Sanjaya    saṁjaya
Sankriti    saṁkr̥ti
Santabhaya    saṁtabhaya
Santanu    saṁtānu
Saryati    saryāti
Sasavindu    śaśavindu
Sasti    sastī
Sata    sata
Satyavrata    satyavrata
Sauti    sautī
Sikhandin    sikhaṁdina
Sradha    śradhā
Srinjaya    śṛñjaya
Sruti    śruti
Subala    subālā
Subhadra    subhadra
Suhotra    suhōtra
Sukratu    sukratu
Sumitra    sumitrā
Supratika    supratīka
Sura    sura
Suryya    sūrya
Sweta    śvētā
Tapa    tapa
Tapas    tapasa
Tryambaka    tryaṁbaka
Upanishad    upaniṣada
Uragas    uragāsa
Usinara    usīnārā
Uttara    uttara
Vaisravana    vaisravaṇa
Vasudeva    vāsudēva
Veda    vēda
Vedas    vēdāsa
Vena    vēnā
Vijava    vijavā
Vikrami    vikramī
Vinitatma    vinītātma
Virata    virāṭa
Virihorta    virihōrtā
Viswamitra    viśvāmitra
Viswasrawa    viśvāsarāva
Vridha    vr̥ddha
Vrihad    vr̥hada
Vripadguru    vr̥padguru
Vrishni    vr̥ṣṇi
Vyasa    vyāsa
Yadu    yadu
Yaksha    yakṣa
Yayati    yayāti
Yudhishthira    yudhiṣṭhira
Yuvanaswu    yuvanasvu
Yuyudhana    yuyudhanā
adhyatma    adhyātma
agni    agni
aishika    aiśikā
angas    aṁgasa
arani    arānī
aranya    araṇya
arjuna    arjuna
arjunakrishna    arjunakr̥ṣṇa
arka    arka
artha    artha
asavaha    asavāha
asrama    āśrama
asramavasika    āśramavāsikā
astika    āstika
asura    asura
aswamedha    aśvamēdha
atma    ātmā
balarama    balarāma
bhanu    bhānū
bharata    bhārata
bhima    bhīma
bhimasena    bhīmasēna
bhishma    bhīṣma
brahma    brahmā
brahmarshi    brahmarṣi
chaidya    caidya
chakshus    cakṣusa
daksha    dakṣa
deva    dēva
devala    dēvalā
dharma    dharma
dhritarashtra    dhr̥tarāṣṭra
dost    dōsta
draupadi    draupadī
drona    drōṇā
duhsasana    duḥśāsana
duryodhana    duryōdhana
dwaipayana    dvaipāyana
dwaraka    dvārakā
ganas    gaṇasa
gandhara    gaṁdhāra
gandhari    gāṁdhārī
ganga    gaṅgā
hari    harī
hath    hātha
hiranyagarbha    hiraṇyagarbha
ikshwaku    ikṣvāku
indra    iṁdra
indraprastha    iṁdraprastha
isana    isānā
jaya    jaya
jyoti    jyōti
khandava    khaṁḍavā
kripa    kr̥pā
krishna    kr̥ṣṇa
kulapati    kulapati
kunti    kuṁtī
kuru    kuru
lomaharshana    lōmaharṣaṇa
madhu    madhu
madri    mādrī
mahabharata    mahābhārata
mahadivya    mahādivya
mahya    mahyā
mantra    maṁtra
manu    manu
maya    māyā
muni    muni
munis    munisa
naimisha    naimiṣā
nakula    nakula
nara    nara
narada    nārada
narayana    nārāyaṇa
nyaya    nyāya
o    ō
om    ōma
pandu    pāṁḍū
parameshthi    paramēṣṭhī
parasara    parāsara
parikshit    parīkṣita
partaketh    paratākētha
pitamaha    pitāmaha
pitris    pitr̥sa
prajapati    prajāpati
purana    purāṇa
purusha    puruṣa
raja    rājā
rajas    rājasa
rajasuya    rājasūya
rakshasas    rākṣasa
ranku    raṁkū
ratha    ratha
ravi    ravi
richika    ricikā
rik    rika
rishi    r̥ṣi
sabha    sabhā
sadhyas    sadhyāsa
sahadeva    sahadēva
sahasra    sahasra
sakuni    sakunī
salya    salya
samantapanchaka    sāmaṁtapaṁcaka
sambhava    saṁbhava
sambhavya    saṁbhāvya
sanjaya    saṁjaya
santi    saṁtī
saraswati    sarasvatī
sata    sata
satyavati    satyavatī
saubala    saubālā
saunaka    saunaka
sauti    sautī
savita    savitā
shomaka    śōmākā
shudhi    śuddhi
sruti    śruti
srutis    śrutisa
sthanu    sthānu
stri    strī
su    sū
subhadra    subhadra
suraguru    suraguru
swayamvara    svayaṁvara
udyoga    udyōga
ugrasrava    ugrasrāva
upanishads    upaniṣadsa
uparichara    uparicara
vasishtha    vaśiṣṭha
vasudeva    vāsudēva
vasus    vāsasa
vayu    vāyu
veda    vēda
vedas    vēdāsa
vibhavasu    vibhāvasu
vichitra    vicitra
vidura    vidura
vijnana    vijñāna
virata    virāṭa
virya    vīrya
vishnu    viṣṇu
viswe    viśvē
vivaswans    vivāsavāṁsa
vrata    vrata
vrishni    vr̥ṣṇi
vyasa    vyāsa
yadus    yādusa
yajur    yajura
yayati    yayāti
yoga    yōga
yudhishthira    yudhiṣṭhira
yuga    yuga
